level,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,19000,5.000,0,5,0.500,0.000,0.400,JJ,jam,-18.000000,-13.562500,40.000000,4.437500,58.000000,0.826172,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,QQ,jam,-18.000000,-13.854167,40.000000,4.145833,58.000000,0.817057,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,TT,jam,-18.000000,-13.875000,40.000000,4.125000,58.000000,0.816406,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AA,jam,-18.000000,-14.791667,40.000000,3.208333,58.000000,0.787760,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KK,jam,-18.000000,-15.020833,40.000000,2.979167,58.000000,0.780599,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J9s,jam,-18.000000,-16.125000,40.000000,1.875000,58.000000,0.746094,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,JTs,jam,-18.000000,-17.500000,40.000000,0.500000,58.000000,0.703125,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,ATo,jam,-18.000000,-17.652778,40.000000,0.347222,58.000000,0.698351,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,QTs,jam,-18.000000,-17.708333,40.000000,0.291667,58.000000,0.696615,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,JTo,jam,-18.000000,-17.819444,40.000000,0.180556,58.000000,0.693142,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A9s,jam,-18.000000,-18.083333,40.000000,-0.083333,58.000000,0.684896,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KTo,jam,-18.000000,-18.125000,40.000000,-0.125000,58.000000,0.683594,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,ATs,jam,-18.000000,-18.166667,40.000000,-0.166667,58.000000,0.682292,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q9o,jam,-18.000000,-18.444444,40.000000,-0.444444,58.000000,0.673611,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KTs,jam,-18.000000,-18.500000,40.000000,-0.500000,58.000000,0.671875,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K9o,jam,-18.000000,-18.555556,40.000000,-0.555556,58.000000,0.670139,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J9o,jam,-18.000000,-18.555556,40.000000,-0.555556,58.000000,0.670139,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,QTo,jam,-18.000000,-18.638889,40.000000,-0.638889,58.000000,0.667535,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q9s,jam,-18.000000,-18.750000,40.000000,-0.750000,58.000000,0.664062,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K9s,jam,-18.000000,-18.916667,40.000000,-0.916667,58.000000,0.658854,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A9o,jam,-18.000000,-18.930556,40.000000,-0.930556,58.000000,0.658420,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KQs,jam,-18.000000,-18.968750,40.000000,-0.968750,58.000000,0.657227,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,QJs,jam,-18.000000,-19.000000,40.000000,-1.000000,58.000000,0.656250,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KJs,jam,-18.000000,-19.218750,40.000000,-1.218750,58.000000,0.649414,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AQs,jam,-18.000000,-19.468750,40.000000,-1.468750,58.000000,0.641602,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AJs,jam,-18.000000,-19.500000,40.000000,-1.500000,58.000000,0.640625,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AKs,jam,-18.000000,-19.625000,40.000000,-1.625000,58.000000,0.636719,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,QJo,jam,-18.000000,-20.083333,40.000000,-2.083333,58.000000,0.622396,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,99,jam,-18.000000,-20.125000,40.000000,-2.125000,58.000000,0.621094,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AJo,jam,-18.000000,-20.583333,40.000000,-2.583333,58.000000,0.606771,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KQo,jam,-18.000000,-20.812500,40.000000,-2.812500,58.000000,0.599609,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J4s,jam,-18.000000,-20.875000,40.000000,-2.875000,58.000000,0.597656,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,KJo,jam,-18.000000,-20.947917,40.000000,-2.947917,58.000000,0.595378,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J6s,jam,-18.000000,-20.968750,40.000000,-2.968750,58.000000,0.594727,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q8s,jam,-18.000000,-21.156250,40.000000,-3.156250,58.000000,0.588867,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J8s,jam,-18.000000,-21.156250,40.000000,-3.156250,58.000000,0.588867,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A8s,jam,-18.000000,-21.281250,40.000000,-3.281250,58.000000,0.584961,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A3s,jam,-18.000000,-21.375000,40.000000,-3.375000,58.000000,0.582031,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K5s,jam,-18.000000,-21.500000,40.000000,-3.500000,58.000000,0.578125,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AQo,jam,-18.000000,-21.510417,40.000000,-3.510417,58.000000,0.577799,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q7s,jam,-18.000000,-21.531250,40.000000,-3.531250,58.000000,0.577148,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,AKo,jam,-18.000000,-21.656250,40.000000,-3.656250,58.000000,0.573242,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
