level,stack_profile,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,equal,76000,20.000,0,5,0.500,0.050,0.400,QQ,jam,0.000000,-12.117188,1.350694,-12.117188,1.350694,0.817057,0.837674,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,JJ,jam,0.000000,-12.051562,1.284722,-12.051562,1.284722,0.826172,0.821181,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,TT,jam,0.000000,-12.121875,1.276042,-12.121875,1.276042,0.816406,0.819010,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,KK,jam,0.000000,-12.379687,1.270833,-12.379687,1.270833,0.780599,0.817708,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,AA,jam,0.000000,-12.328125,1.258681,-12.328125,1.258681,0.787760,0.814670,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,AQs,jam,0.000000,-13.380469,0.007812,-13.380469,0.007812,0.641602,0.501953,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,99,jam,0.000000,-13.528125,0.000000,-13.528125,0.000000,0.621094,0.500000,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,KQs,fold,0.000000,-13.267969,-0.031250,-13.267969,-0.031250,0.657227,0.492188,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,JTs,fold,0.000000,-12.937500,-0.036458,-12.937500,-0.036458,0.703125,0.490885,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,QJs,fold,0.000000,-13.275000,-0.093750,-13.275000,-0.093750,0.656250,0.476562,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,QTs,fold,0.000000,-12.984375,-0.106771,-12.984375,-0.106771,0.696615,0.473307,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,ATs,fold,0.000000,-13.087500,-0.117188,-13.087500,-0.117188,0.682292,0.470703,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,AJs,fold,0.000000,-13.387500,-0.127604,-13.387500,-0.127604,0.640625,0.468099,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,KTs,fold,0.000000,-13.162500,-0.132812,-13.162500,-0.132812,0.671875,0.466797,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,AJo,fold,0.000000,-13.631250,-0.137153,-13.631250,-0.137153,0.606771,0.465712,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,AKs,fold,0.000000,-13.415625,-0.171875,-13.415625,-0.171875,0.636719,0.457031,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
9,equal,76000,20.000,0,5,0.500,0.050,0.400,QJo,fold,0.000000,-13.518750,-0.181424,-13.518750,-0.181424,0.622396,0.454644,40.000000,-80.000000,40.000000,-40.000000,0.000000,40.000000
