level,stack,stack_bb,postflop_realization,flat_call_fraction,defender_jam_fraction,seat,posted,open2bb_wfrac,ai_wfrac,fold_wfrac,open2bb_classes,ai_classes,top_open2bb,top_ai
9,19000,5.000,0.400,0.250,solver,0,950,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,solver,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,solver,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.250,solver,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,solver,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.000,0,950,0.909502,0.090498,0.000000,151,18,KTo|K9s|A4s|K6s|ATs,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.000,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.000,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.250,0.000,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.000,4,2850,0.226244,0.773756,0.000000,31,138,T4o|82s|T3o|T2o|J9s,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.050,0,950,0.526395,0.259427,0.214178,93,47,A9o|A6o|K5o|77|A7o,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.050,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.050,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.250,0.050,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.050,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.100,0,950,0.006033,0.348416,0.645551,2,61,65s|76s,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.100,1,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.100,2,950,0.000000,0.000000,1.000000,0,0,,
9,19000,5.000,0.400,0.250,0.100,3,950,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
9,19000,5.000,0.400,0.250,0.100,4,2850,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
