level,stack,stack_bb,postflop_realization,flat_call_fraction,seat,posted,open2bb_wfrac,ai_wfrac,fold_wfrac,open2bb_classes,ai_classes,top_open2bb,top_ai
8,7500,3.000,0.400,0.000,0,630,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.000,1,630,0.411011,0.411011,0.177979,146,146,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.000,2,630,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.000,3,630,0.000000,0.000000,1.000000,0,0,,
8,7500,3.000,0.400,0.000,4,1880,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.250,0,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.250,1,630,0.000000,0.822021,0.177979,0,146,,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.250,2,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,7500,3.000,0.400,0.250,3,630,0.000000,0.000000,1.000000,0,0,,
8,7500,3.000,0.400,0.250,4,1880,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.000,0,630,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.000,1,630,0.411011,0.411011,0.177979,146,146,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.000,2,630,0.000000,0.000000,1.000000,0,0,,
8,10000,4.000,0.400,0.000,3,630,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.000,4,1880,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.250,0,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.250,1,630,0.000000,0.822021,0.177979,0,146,,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.250,2,630,0.000000,0.000000,1.000000,0,0,,
8,10000,4.000,0.400,0.250,3,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,10000,4.000,0.400,0.250,4,1880,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.000,0,630,0.175716,0.175716,0.648567,62,62,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.000,1,630,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.000,2,630,0.000000,0.000000,1.000000,0,0,,
8,12500,5.000,0.400,0.000,3,630,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.000,4,1880,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.250,0,630,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.250,1,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.250,2,630,0.000000,0.000000,1.000000,0,0,,
8,12500,5.000,0.400,0.250,3,630,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,12500,5.000,0.400,0.250,4,1880,0.000000,1.000000,0.000000,0,169,,KK|QQ|AA|KQo|AQo
8,15000,6.000,0.400,0.000,0,630,0.175716,0.175716,0.648567,62,62,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,15000,6.000,0.400,0.000,1,630,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,15000,6.000,0.400,0.000,2,630,0.000000,0.000000,1.000000,0,0,,
8,15000,6.000,0.400,0.000,3,630,0.598039,0.401961,0.000000,169,142,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,15000,6.000,0.400,0.000,4,1880,0.500000,0.500000,0.000000,169,169,KK|QQ|AA|KQo|AQo,KK|QQ|AA|KQo|AQo
8,15000,6.000,0.400,0.250,0,630,0.000000,0.351433,0.648567,0,62,,KK|QQ|AA|KQo|AQo
